Event Information,,,,,,
Venue Name,Event Name,,,,,
Sepang International Circuit,Malaysian Grand Prix,,,,,
,,,,,,
Lower Third Templates,,,,,,
Template,Title,Subtitle,,,,
Lower Third Left,RIDER SPOTLIGHT,Current Championship Leader,,,,
Lower Third Centre,RACE UPDATE,Lap 15 of 20,,,,
Lower Third Right,FASTEST LAP,Sector 2 - 1:24.567,,,,
,,,,,,
Schedule,,,,,,
Time,Event,Description,Duration,Status,Notes
09:00,Practice Session 1,Morning practice session,60 min,Scheduled,
10:30,Qualifying Round 1,First qualifying session,30 min,Scheduled,
11:15,Qualifying Round 2,Second qualifying session,30 min,Scheduled,
12:00,Lunch Break,Break for lunch,60 min,Scheduled,
13:00,Practice Session 2,Afternoon practice session,45 min,Scheduled,
14:00,Final Qualifying,Final qualifying session,30 min,Scheduled,
15:00,Pre-Race Briefing,Driver and team briefing,30 min,Scheduled,
15:45,Formation Lap,Grid formation,10 min,Scheduled,
16:00,Main Race,Championship race,90 min,Scheduled,20 laps
17:45,Podium Ceremony,Winner presentation,30 min,Scheduled,
18:30,Press Conference,Post-race interviews,45 min,Scheduled,
